session_id,user_id,entry_point,time_of_day,day_of_week,is_weekend,network_type,scroll_velocity,first_tap_depth,session_gap_hours,previous_session_converted,regional_event_active,user_cohort,intent_label,converted,dwell_seconds,exploration_depth,returned_within_24h,session_value_score
b89c2092-42d0-4382-9666-99a700523141,2ecf725c-b0b1-4903-8ba8-98acd7084f6c,widget,16,4,False,cellular,84.8,3,14.8,True,True,new,act,True,94.9,3,True,0.6074
8359a334-3bba-4560-9b45-e7f0b4befe9c,69d98787-521e-484d-9f8c-88f0b062221a,organic,21,1,False,cellular,294.3,1,127.5,False,False,casual,browse,False,235.8,5,True,0.4179
9347c951-869c-4b02-a672-b6eee221056e,15fdae39-c62c-4022-b22e-8de2b2e9f3c5,organic,19,2,False,wifi,110.7,4,6.4,True,False,new,act,True,68.6,5,False,0.4343
1f4907a5-eabf-40b4-ae01-947c34f63593,d2436f09-d20c-46a0-ad4d-f430199bce0f,widget,18,6,True,cellular,252.7,1,11.8,True,False,regular,browse,True,230.9,6,False,0.5354
1a26813b-a462-45eb-954a-c9861104cf87,4b5d2ec7-bb65-43bd-9b24-c3ebbdb301c8,organic,0,2,False,cellular,323.9,2,1.3,True,False,regular,browse,False,84.6,5,False,0.1423
f32b8b69-c009-489e-9f67-05d31d91330c,70acf925-a003-468a-bdd7-3eba327ab5ee,organic,20,2,False,wifi,79.2,2,33.0,True,False,regular,act,True,294.3,5,True,0.7472
8441ceb7-f6fc-49fc-80ba-9fa1f9af7bcd,a7c5afdb-5183-40c3-b6cb-94929682b6ce,organic,8,6,True,cellular,322.0,1,0.3,False,False,regular,browse,False,178.5,7,True,0.4292
d705e408-8bd6-4bf8-8d20-01529cf13607,116b1c6f-0588-44e9-b525-b42d3c65c3e5,push,16,3,False,wifi,69.7,2,19.5,True,False,power,browse,True,200.0,3,True,0.66
fad80112-6cfa-4687-b6e0-3a01db70e56b,756f852d-4dd9-4471-b249-e8f15eaf5ce2,organic,8,4,False,wifi,320.1,1,8.2,False,True,new,browse,False,215.0,6,False,0.2275
cecf86b5-8056-4302-bb1d-f78c40b427ca,d626bd0a-5c1f-4c93-868a-f373e3fa06cb,push,20,3,False,wifi,90.8,3,16.7,False,False,new,act,False,54.1,2,True,0.267
bceb6c11-225e-4a8e-84a2-08298397e2ac,b4e810e6-0998-4975-ac82-60b3d4d87379,organic,20,6,True,cellular,390.3,3,38.8,False,False,regular,browse,False,206.0,8,False,0.263
e00d44a0-ac1c-4583-be06-83d83ba9f86a,e0ccda09-75fe-4cc5-bf5e-9c6aa7b517fc,organic,7,5,True,cellular,349.1,1,12.2,False,False,casual,browse,False,241.2,7,False,0.2606
1dcb485a-a766-4d20-b5ad-ab19f84e19ac,c01fd11d-c1db-4bc0-b2a9-bc139978d687,push,13,1,False,wifi,236.0,1,25.7,False,False,casual,browse,False,357.8,5,True,0.4789
d5b966b8-1cd2-42ce-9fa0-c542119a5a97,586389de-60f6-49fe-a41e-032324e5abbe,widget,19,5,True,wifi,416.8,2,2.9,False,False,power,browse,False,240.2,4,False,0.2001
06786d4f-3c3f-4151-8036-0708adaab65f,38d35e14-6251-43c2-b57a-526056205616,organic,6,1,False,wifi,245.4,1,9.3,False,False,casual,browse,False,64.9,6,False,0.1524
aee54184-021e-4a27-b6e2-b15f111dbcbb,0f6419d2-2e84-48b5-9d71-0e574f3057ee,push,19,6,True,wifi,106.5,2,28.7,False,False,casual,act,True,237.9,1,True,0.639
f55377f1-ac48-41f4-9664-4997b6df1a59,3c4ac789-6f00-4c62-ac47-6683d1dee285,push,10,0,False,wifi,357.5,1,4.4,False,False,casual,browse,False,328.7,7,False,0.3043
fa86d62e-bdaa-4e4f-a9b8-d73ad1c1b8df,50cf42dc-d3c7-4e7e-9e83-2511f85b9542,push,19,0,False,cellular,65.0,3,4.0,True,False,casual,act,False,192.9,5,False,0.1965
918c57f3-6800-4968-a241-3d91ea7c0f40,21eb7b1c-9db9-4a13-80d5-72dcbcecb437,organic,22,0,False,wifi,206.4,1,15.3,False,False,casual,browse,False,160.4,5,True,0.3802
b874ff48-6bd3-4bd1-a139-b9d2d7a12344,474b3de2-55c6-4aaf-aa12-b49d96ace476,push,19,4,False,cellular,86.8,4,36.0,True,False,new,act,False,121.1,4,True,0.3406
b32dc9ca-86aa-41f2-b468-636a79d6a4c7,557d203f-3487-4db8-852b-79db1fd34e0d,push,18,1,False,cellular,80.3,2,3.3,False,False,power,act,True,213.5,5,True,0.7068
fc28a5c2-8980-4490-92db-3898ca93abcc,7db26a4e-0ade-4ae3-a970-5d8d98969018,widget,16,5,True,cellular,304.6,1,6.2,True,False,power,act,True,473.4,6,False,0.6567
b4a3215b-2161-4275-bd5e-8eae1f21a6f9,275523a0-0c36-46db-bc2a-ba847f8b6e55,widget,22,3,False,wifi,340.0,1,1.8,False,False,power,browse,False,540.8,7,False,0.4104
df4caa51-81b8-455a-b4cb-db90d0051195,5e32b02f-aec3-4bef-80b6-277770fc260c,organic,18,2,False,wifi,311.2,1,20.3,False,False,casual,browse,False,181.2,4,False,0.1706
bc835f90-24c9-42a5-a9b2-03d24832786a,e881b685-a77b-4358-8bb3-a0171521e4f0,organic,19,4,False,cellular,85.0,4,8.4,True,False,casual,act,True,201.3,2,True,0.6406
dd831fec-4dcd-4515-a7d5-649f09d9967d,31c08b7c-aa35-4309-8484-76792cbd33e3,widget,6,4,False,cellular,215.3,3,6.2,False,True,new,browse,False,545.1,5,False,0.3726
11c9d7b8-3788-4f56-80ad-72d743cf439c,107e1095-0f67-4cab-9459-552240718396,push,12,3,False,cellular,64.8,5,11.0,True,False,regular,browse,True,184.9,2,True,0.6324
9b35c44b-e8e2-4a88-bd7a-e7987a4abde9,08834a95-16e9-4174-9914-76ea338d1dab,push,21,3,False,wifi,107.4,3,4.6,False,True,casual,act,True,146.5,3,True,0.6332
16abdd97-3ce0-4fb4-b25b-0b9db43e826d,9fb05d2b-60b2-4fae-a17a-de9be66c15d5,organic,20,4,False,wifi,291.1,1,31.0,False,False,regular,browse,False,293.4,10,False,0.3467
f8219c45-b07b-4937-8071-a7cd12346473,43e13862-d9f3-431d-91ee-ee2d9270c23d,push,10,6,True,wifi,289.4,2,13.6,False,False,regular,browse,False,106.6,6,False,0.1733
e89eb785-f732-4fe7-a158-4b344f3e233a,f03df9d6-35f2-40e5-b29c-a6a228202109,push,19,1,False,cellular,124.3,2,13.1,False,True,casual,act,False,135.8,5,False,0.1679
c3393730-f9c1-4648-aece-76279c951975,fc82e50c-dbdc-451e-bbf0-cdec8857bb18,push,15,4,False,wifi,104.4,3,4.3,True,True,casual,act,False,44.0,4,False,0.102
109c6329-1d58-42cc-8379-f456cbe2bdfb,1ce55ab5-b6dd-4ad5-adb9-9dacb329c864,push,19,4,False,cellular,126.9,2,24.8,False,False,casual,act,True,63.8,3,False,0.3919
d6dbc431-bc3c-4bb5-9250-8dc999bf97af,5a97b5d8-6109-4fc5-87d0-e0121a01a3cc,organic,19,5,True,wifi,373.6,2,98.2,True,False,regular,browse,False,442.5,4,True,0.5012
cf57eecf-ceb4-4e5b-9c9a-fb7df7bcb0ee,0d32192a-d27f-4e6c-8063-7b2cfcaaa92e,organic,12,3,False,wifi,331.5,2,4.0,False,False,casual,browse,False,536.5,10,False,0.4682
98bf82d1-2d48-4887-9338-becb7e3dba93,b106e666-c9a9-4f72-b97f-85195d5addd0,organic,14,0,False,cellular,113.3,2,7.4,True,True,regular,act,True,209.6,5,False,0.5048
9890f444-16ad-4cff-9597-e546b6e69c46,d6f8a261-ee24-4e24-834f-34330791a897,organic,16,6,True,cellular,342.1,1,1.3,False,False,casual,browse,False,67.9,6,False,0.154
14bb5351-4638-4594-8121-44d0d4bcf176,0d62ea44-a616-4730-8463-492bd8e2c9a3,push,22,4,False,cellular,58.0,3,14.3,False,False,regular,act,True,146.0,5,True,0.673
c1939db0-c89c-441f-ae02-feb53f0042df,41314a04-2287-4721-86c9-23bd65c4d282,widget,19,2,False,wifi,324.9,1,15.3,False,False,power,browse,False,305.7,10,True,0.5529
b3421d7d-dd8e-4943-b648-ba090322d8a4,7dd273e9-1bf5-43cd-97db-0889c37d6191,widget,23,2,False,cellular,65.8,3,13.2,True,False,regular,act,True,120.2,1,False,0.3801
f4ff8c3c-79ab-4be4-9c25-e485fdfbcd60,e9eeffed-9b4d-4c07-89e9-33ede53bcac3,organic,12,1,False,wifi,65.3,3,107.3,True,True,regular,act,False,203.3,3,False,0.1617
616268e4-01b0-480e-b370-6e7a1136f455,f5641e9c-1c90-4b0f-bbc5-5ece9d850024,organic,11,6,True,cellular,306.8,1,18.4,True,False,power,browse,False,115.5,9,False,0.2378
33b70d6e-e20b-40f6-b1b4-44894c26f087,bbf86fe3-52b7-4111-8fda-cfe98a320dd5,push,8,0,False,wifi,65.5,2,2.0,True,False,power,act,True,207.3,2,True,0.6437
872597d2-b75d-4621-83c3-1bc5d86936ef,00fc1a16-3bc8-44a5-876c-e14e4f0396f0,push,22,2,False,wifi,66.2,3,101.4,False,True,casual,act,True,220.0,3,True,0.67
e1a60a35-57ae-43bb-b4e5-732a1e1fd845,da6bddc2-fd50-4560-9bb9-035f9e7e680b,organic,11,3,False,cellular,246.5,1,161.8,True,False,power,act,False,366.4,9,False,0.3632
d95e5a94-4f1d-4b95-8d49-7a5b3e8abcab,b549c544-1562-4108-bd7a-f5f16d0a83a1,organic,16,0,False,wifi,314.4,1,28.3,True,False,casual,act,False,165.2,9,True,0.4626
0b59a274-cc06-4712-9b76-1ed425a3f14a,557629ff-2712-4b6d-ac93-f2ce54c41816,push,6,2,False,wifi,329.3,5,16.7,False,False,casual,browse,False,328.0,4,True,0.444
ed0fda00-34b5-47aa-a0b4-2e5049401d89,8c6a0b74-7515-4ea3-be27-79f449adc2af,organic,8,6,True,wifi,294.3,3,11.1,True,True,power,browse,False,268.1,9,False,0.3141
0d3ecfd8-de90-4477-b7db-5c0151bb1e18,a11b4126-35a6-4664-9bad-429a53737d52,organic,22,1,False,wifi,368.0,2,8.8,False,False,regular,browse,False,311.7,10,False,0.3558
986a9ceb-2ce3-4886-929b-cb1da8e6d069,e7bee5cc-08be-417e-90ea-bc02d6427a46,organic,12,0,False,wifi,271.9,3,25.0,True,False,regular,browse,False,77.2,6,False,0.1586
58e2d552-54da-444f-b697-9f4ac9dd958e,d769c549-9194-4ef1-b051-019a7ce7ebe5,organic,18,1,False,wifi,83.4,3,168.0,True,False,regular,act,True,242.0,2,True,0.661
5c3698fa-7dd4-402c-9e32-a3381db4250c,09b69289-4942-4543-b452-630002805b1a,push,5,5,True,wifi,54.8,4,39.4,True,False,new,act,True,169.4,1,True,0.6047
bc5e7fea-3e8d-4034-9268-6e0883691859,aba2b638-a25c-4802-87b9-b2eabff63a41,organic,19,3,False,cellular,77.8,3,62.3,True,False,regular,act,True,98.8,5,True,0.6494
21fa023b-32e0-4d8a-921f-c3422df506a1,30614363-9285-46ee-88bb-f6ebef7a09ae,widget,11,6,True,cellular,331.3,3,10.5,False,False,casual,browse,False,110.3,4,True,0.3352
fe882ae6-317f-4612-adbb-de2e8f071a88,0698816d-c45b-45cc-9294-1571bb16184a,widget,15,4,False,wifi,341.4,1,36.8,False,False,regular,browse,False,138.6,8,False,0.2293
8bd934df-489c-4229-bb9d-42ab6314ed1f,6c4a5b80-8820-4962-87f4-c7cfa6e76e63,organic,14,4,False,wifi,369.7,1,39.3,False,False,regular,browse,True,141.2,5,False,0.4706
949144ae-ce5b-4d10-9991-aece94369da3,36e6f8f6-acb6-40a6-aec6-0d5372835059,push,16,1,False,cellular,98.0,3,168.0,True,True,casual,act,True,89.3,4,True,0.6246
ab5175c9-85c0-4644-a7ba-70777ddf18d1,25ce5d7e-a57c-40db-93d6-2ae1c0318ffb,widget,19,0,False,wifi,335.3,1,115.0,False,False,power,browse,False,486.6,5,True,0.5433
1f09ea5d-f3a6-43ec-b759-c4caca32e2df,0402876b-f854-4041-8719-f9c151d7b389,widget,14,4,False,cellular,283.5,1,4.2,False,False,regular,browse,False,160.1,4,False,0.1601
4bd58869-38da-414f-bcb5-25d5e2babf17,37eef806-94fb-46ed-8d7c-770e84b1105d,organic,20,2,False,cellular,237.7,1,168.0,False,False,power,act,True,414.5,4,False,0.5873
b3ae1ca2-95f2-4cc2-b200-fc5c34946103,764468cc-de46-4892-a977-382546b162da,widget,7,5,True,wifi,403.0,2,9.1,True,False,regular,browse,False,97.1,9,False,0.2286
8af98732-b7d0-4d87-aa2a-e45c4f7c4d8f,0d62ea44-a616-4730-8463-492bd8e2c9a3,push,8,5,True,wifi,304.3,1,2.4,False,False,regular,browse,False,280.7,8,False,0.3004
21665284-fc04-47b3-a230-6b6c31b77064,fc82e50c-dbdc-451e-bbf0-cdec8857bb18,organic,16,4,False,cellular,303.9,2,4.9,False,False,casual,browse,False,241.0,6,False,0.2405
ca6cf98f-2c7c-47e5-9e68-4c906a2614b9,ced890be-844e-4f7a-81c0-51e0273b6d87,organic,9,5,True,wifi,378.4,1,7.6,False,True,casual,browse,True,344.7,4,False,0.5524
3af46912-4fba-4a06-aba1-aae5d624e96b,596f9387-cb68-48ed-b093-a2985a11f077,organic,19,1,False,cellular,250.3,1,27.2,False,False,regular,browse,False,137.8,10,False,0.2689
1ccc645e-8265-4aab-be20-d4dd26beb147,6ca509a6-2f64-486a-8d01-e08ed2076c9f,organic,20,4,False,cellular,335.9,1,3.5,False,False,casual,browse,False,213.8,8,True,0.4669
c631393f-3a8f-4935-b46c-8059bf4e7d31,7f3f9590-e17c-4d43-a8fd-379390141df5,organic,15,6,True,cellular,402.4,1,147.4,True,False,regular,browse,False,271.2,9,False,0.3156
ad2d0171-ac8f-4ea6-8a94-c91b84c3fd9d,4e476980-6cb1-4895-8521-4f5367e8a1ac,push,17,0,False,cellular,317.4,1,57.8,False,False,power,browse,False,90.9,8,False,0.2054
a2d13fe6-a6e1-4ce3-bd25-1fb7c845bbc6,de24b7a0-f29d-413f-8882-6cc1ac3aa651,organic,8,3,False,cellular,363.1,1,29.6,True,False,regular,browse,False,263.5,6,False,0.2517
