session_id,user_id,entry_point,time_of_day,day_of_week,is_weekend,network_type,scroll_velocity,first_tap_depth,session_gap_hours,previous_session_converted,regional_event_active,intent_label,converted,session_value_score
sess_00001,usr_0457,organic,19,4,False,cellular,205.7,3,2.9,True,False,act,True,0.8817
sess_00002,usr_0103,widget,17,4,False,cellular,97.5,2,1.5,False,True,act,False,0.4851
sess_00003,usr_1127,push_notification,8,6,True,cellular,164.8,3,1.1,True,False,act,False,0.4721
sess_00004,usr_1004,organic,8,3,False,wifi,155.3,2,15.8,False,True,act,True,0.8189
sess_00005,usr_0915,push_notification,7,6,True,wifi,65.3,3,1.3,True,True,act,True,0.6832
sess_00006,usr_0572,widget,6,6,True,wifi,184.3,1,3.2,False,False,browse,False,0.3462
sess_00007,usr_0420,organic,13,1,False,wifi,257.5,1,2.3,False,False,browse,False,0.291
sess_00008,usr_2234,organic,20,1,False,cellular,372.7,1,22.2,False,False,browse,False,0.543
sess_00009,usr_0357,push_notification,19,0,False,wifi,99.7,2,4.3,False,False,act,True,0.7909
sess_00010,usr_2419,push_notification,9,6,True,wifi,118.9,1,1.2,True,True,act,True,0.8482
sess_00011,usr_1729,organic,9,3,False,cellular,224.9,1,9.4,True,False,browse,False,0.3179
sess_00012,usr_0131,organic,11,3,False,cellular,250.8,1,12.3,True,False,browse,False,0.4538
sess_00013,usr_0123,widget,9,3,False,cellular,289.5,1,1.6,False,False,browse,False,0.3618
sess_00014,usr_0384,organic,20,0,False,cellular,222.9,2,17.3,True,False,browse,False,0.5144
sess_00015,usr_0896,organic,20,0,False,cellular,129.1,5,20.1,False,False,browse,False,0.5535
sess_00016,usr_0953,organic,20,3,False,cellular,358.2,4,3.8,True,False,browse,False,0.2557
sess_00017,usr_2070,organic,22,0,False,cellular,242.0,1,9.4,True,False,browse,False,0.5272
sess_00018,usr_2466,organic,9,1,False,wifi,324.9,3,18.7,False,False,browse,False,0.3871
sess_00019,usr_0109,organic,17,5,True,cellular,127.0,1,16.1,True,False,act,True,0.808
sess_00020,usr_2299,push_notification,20,5,True,wifi,137.0,3,1.1,False,False,act,True,0.8253
sess_00021,usr_0815,push_notification,18,2,False,cellular,154.1,3,5.5,False,True,act,True,0.7829
sess_00022,usr_2233,push_notification,18,4,False,wifi,186.1,3,19.2,False,False,act,True,0.7376
sess_00023,usr_1719,widget,14,1,False,cellular,144.0,4,28.2,True,False,act,False,0.2525
sess_00024,usr_0903,organic,18,6,True,wifi,141.3,3,49.7,False,False,act,True,0.8706
sess_00025,usr_1840,push_notification,12,4,False,wifi,95.1,3,17.1,True,False,act,True,0.7899
sess_00026,usr_2414,widget,19,0,False,cellular,175.6,2,0.9,False,False,act,True,0.869
sess_00027,usr_1140,organic,9,5,True,cellular,354.5,1,12.4,False,False,browse,False,0.2465
sess_00028,usr_0027,widget,17,4,False,wifi,215.6,1,15.5,False,False,browse,False,0.6066
sess_00029,usr_0654,organic,18,6,True,wifi,97.5,1,20.0,False,True,act,False,0.5113
sess_00030,usr_1732,widget,12,3,False,wifi,265.0,1,17.3,False,False,browse,False,0.4663
sess_00031,usr_1394,push_notification,16,3,False,wifi,150.8,4,56.0,False,False,act,True,0.6366
sess_00032,usr_1139,push_notification,15,2,False,cellular,131.4,2,10.0,False,True,act,False,0.3344
sess_00033,usr_0637,widget,5,5,True,cellular,215.3,2,168.0,True,False,browse,True,0.7058
sess_00034,usr_0882,organic,19,3,False,wifi,247.7,3,5.6,True,False,browse,True,0.8593
sess_00035,usr_1379,organic,14,6,True,cellular,192.2,1,17.4,False,False,browse,False,0.2473
sess_00036,usr_0419,widget,23,4,False,cellular,144.0,2,82.7,False,False,act,True,0.6151
sess_00037,usr_0380,push_notification,2,1,False,wifi,289.3,3,78.4,False,False,browse,False,0.2284
sess_00038,usr_1557,organic,9,5,True,cellular,284.0,2,15.5,False,False,browse,False,0.5369
sess_00039,usr_0397,organic,19,1,False,cellular,343.7,1,12.0,True,False,browse,False,0.4449
sess_00040,usr_1471,push_notification,7,3,False,wifi,77.6,2,6.6,False,False,act,True,0.7626
sess_00041,usr_1409,push_notification,14,1,False,wifi,73.6,2,2.8,True,False,act,True,0.7898
sess_00042,usr_2473,organic,15,5,True,cellular,217.6,1,30.6,False,False,browse,False,0.5713
sess_00043,usr_1084,widget,13,0,False,wifi,143.0,2,4.8,False,False,act,True,0.8053
sess_00044,usr_0178,organic,19,6,True,wifi,406.6,2,7.2,True,False,browse,False,0.5768
sess_00045,usr_1882,push_notification,9,3,False,wifi,125.8,3,31.7,True,False,act,True,0.6223
sess_00046,usr_2197,push_notification,18,3,False,cellular,121.9,2,1.7,True,False,act,True,0.7881
sess_00047,usr_0512,push_notification,23,4,False,wifi,300.9,2,6.1,True,True,browse,False,0.2909
sess_00048,usr_1551,organic,23,1,False,cellular,183.2,2,21.9,False,True,act,True,0.871
sess_00049,usr_0323,organic,13,6,True,cellular,303.6,1,23.6,False,False,browse,False,0.4792
sess_00050,usr_2262,organic,11,2,False,wifi,248.0,2,4.3,False,False,browse,True,0.5673
sess_00051,usr_1201,push_notification,19,2,False,wifi,130.4,2,7.5,False,False,act,True,0.6111
sess_00052,usr_1482,push_notification,16,1,False,wifi,70.2,2,4.8,True,False,act,False,0.4853
sess_00053,usr_2365,organic,20,3,False,wifi,333.8,3,51.7,False,True,browse,False,0.4436
sess_00054,usr_0788,push_notification,11,5,True,cellular,321.9,1,168.0,False,True,browse,False,0.3008
sess_00055,usr_0285,push_notification,19,0,False,wifi,123.3,1,7.2,False,False,act,True,0.8359
sess_00056,usr_0188,push_notification,22,0,False,wifi,75.7,1,8.8,True,False,act,True,0.817
sess_00057,usr_0934,push_notification,14,2,False,wifi,13.6,2,64.5,False,False,act,False,0.5634
sess_00058,usr_1186,organic,2,3,False,wifi,106.1,1,52.8,True,False,browse,False,0.361
sess_00059,usr_0327,widget,17,5,True,cellular,372.7,1,7.9,False,False,browse,True,0.7371
sess_00060,usr_0954,organic,20,6,True,wifi,165.6,2,2.0,False,False,act,False,0.5324
sess_00061,usr_0414,widget,7,5,True,cellular,277.5,1,39.1,False,False,browse,False,0.2521
sess_00062,usr_1557,widget,8,6,True,wifi,141.6,2,38.1,False,False,act,True,0.815
sess_00063,usr_1139,push_notification,19,1,False,wifi,160.6,2,89.9,True,False,act,True,0.799
sess_00064,usr_1858,organic,12,2,False,wifi,209.3,4,60.9,True,False,browse,False,0.4383
sess_00065,usr_1495,organic,14,4,False,wifi,196.1,2,19.1,False,False,browse,False,0.4712
sess_00066,usr_0667,push_notification,0,3,False,cellular,110.1,2,5.1,False,True,act,True,0.6833
sess_00067,usr_1517,organic,20,0,False,cellular,149.4,3,16.8,False,True,act,False,0.5246
sess_00068,usr_1456,push_notification,8,1,False,cellular,105.6,3,62.1,False,True,act,True,0.8086
sess_00069,usr_0859,widget,13,6,True,wifi,244.8,3,9.7,False,False,browse,False,0.2399
sess_00070,usr_1094,push_notification,15,2,False,cellular,97.8,2,11.8,False,False,act,True,0.8081
sess_00071,usr_0293,push_notification,18,4,False,cellular,298.7,2,11.7,False,False,browse,True,0.6304
sess_00072,usr_2496,organic,8,3,False,cellular,93.6,1,10.2,False,False,act,True,0.601
sess_00073,usr_0701,widget,9,0,False,cellular,186.1,1,7.8,False,False,browse,False,0.3219
sess_00074,usr_2188,push_notification,10,3,False,cellular,277.5,2,5.9,False,True,browse,False,0.2407
sess_00075,usr_1003,push_notification,22,4,False,wifi,282.9,2,36.2,False,False,browse,False,0.5338
sess_00076,usr_0670,push_notification,9,4,False,wifi,402.5,1,40.9,False,False,browse,False,0.2523
sess_00077,usr_1894,push_notification,20,4,False,cellular,95.4,2,4.8,True,False,act,True,0.8285
sess_00078,usr_1555,push_notification,20,3,False,wifi,127.5,2,25.3,True,False,act,True,0.7747
sess_00079,usr_1106,organic,20,6,True,wifi,237.9,2,18.9,True,True,browse,False,0.2854
sess_00080,usr_2282,organic,8,6,True,wifi,350.2,3,6.4,False,False,browse,False,0.2723
sess_00081,usr_0900,widget,19,4,False,cellular,129.7,3,11.5,False,False,act,True,0.6616
sess_00082,usr_1329,push_notification,19,6,True,cellular,81.5,4,85.8,True,False,browse,True,0.5656
sess_00083,usr_0230,organic,16,0,False,wifi,200.4,1,20.8,True,False,browse,False,0.3233
sess_00084,usr_0939,organic,19,3,False,cellular,276.2,2,3.8,True,False,browse,False,0.4779
sess_00085,usr_0132,organic,12,0,False,wifi,366.0,3,6.9,True,False,browse,True,0.8666
sess_00086,usr_1293,widget,17,6,True,wifi,308.6,3,107.2,False,False,browse,True,0.6612
sess_00087,usr_1644,organic,15,1,False,cellular,243.2,1,92.1,False,False,browse,False,0.5691
sess_00088,usr_1097,push_notification,2,2,False,wifi,289.6,1,12.8,True,False,browse,False,0.3724
sess_00089,usr_0272,organic,12,3,False,wifi,307.8,2,168.0,False,False,browse,False,0.3576
sess_00090,usr_0865,push_notification,12,1,False,wifi,151.1,2,63.6,True,False,act,False,0.5101
sess_00091,usr_2324,push_notification,13,6,True,cellular,50.4,3,48.4,True,False,act,True,0.6233
sess_00092,usr_1289,organic,6,5,True,wifi,123.8,4,6.0,False,True,browse,False,0.2835
sess_00093,usr_0871,organic,19,3,False,wifi,113.6,1,45.3,False,False,act,True,0.7774
sess_00094,usr_2045,push_notification,7,2,False,wifi,307.7,1,36.6,False,False,browse,True,0.8033
sess_00095,usr_1621,organic,6,4,False,cellular,266.9,2,44.2,True,False,browse,False,0.3537
sess_00096,usr_1880,push_notification,18,0,False,cellular,125.6,2,25.6,False,False,act,True,0.6275
sess_00097,usr_0586,organic,10,2,False,wifi,357.1,2,9.1,True,False,browse,False,0.3178
sess_00098,usr_1085,push_notification,12,6,True,wifi,162.9,1,1.1,False,False,act,True,0.5916
sess_00099,usr_0572,organic,22,1,False,wifi,278.4,1,7.1,True,False,browse,False,0.3668
sess_00100,usr_1011,widget,8,6,True,wifi,135.2,2,14.2,False,False,act,True,0.6364
sess_00101,usr_2300,organic,6,5,True,wifi,355.3,1,3.7,False,True,browse,False,0.3036
sess_00102,usr_2208,push_notification,14,6,True,cellular,166.1,2,7.0,False,True,act,True,0.867
sess_00103,usr_1077,organic,19,0,False,cellular,223.9,1,29.9,True,False,browse,False,0.5111
sess_00104,usr_2395,organic,9,0,False,cellular,205.0,2,6.3,True,False,browse,True,0.549
sess_00105,usr_1755,organic,13,0,False,wifi,185.1,2,24.1,True,True,act,True,0.7756
sess_00106,usr_2391,organic,19,2,False,wifi,345.9,1,2.4,False,False,browse,True,0.5845
sess_00107,usr_1636,organic,16,1,False,wifi,330.4,1,3.7,False,True,browse,False,0.5796
